player_id,wc,number,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played
Julio Baptista-10,2010,19,Julio Baptista,0,MF,1-Oct-81,28,49,Roma,Italy,1,0,1,0,1,5
Kleberson-10,2010,20,Kleberson,0,MF,19-Jun-79,30,33,Flamengo,Brazil,1,1,1,0,0,1
Nilmar-10,2010,21,Nilmar,0,FW,14-Jul-84,25,17,Villarreal,Spain,1,0,0,0,6,9
Doni-10,2010,22,Doni,0,GK,22-Oct-79,30,10,Roma,Italy,1,0,1,0,0,0
Grafite-10,2010,23,Grafite,0,FW,2-Apr-79,31,3,Wolfsburg,Germany,1,0,0,0,0,2
Jefferson-14,2014,1,Jefferson,0,GK,2-Jan-83,31,9,Botafogo,Brazil,1,0,1,0,0,2
Dani Alves-14,2014,2,Dani Alves,0,DF,6-May-83,31,76,Barcelona,Spain,1,0,1,0,0,0
Thiago Silva-14,2014,3,Thiago Silva,1,DF,22-Sep-84,29,46,Paris Saint-Germain,France,1,1,1,0,1,6
David Luiz-14,2014,4,David Luiz,0,DF,22-Apr-87,27,36,Chelsea,England,1,0,1,0,0,9
Fernandinho-14,2014,5,Fernandinho,0,MF,4-May-85,29,7,Manchester City,England,1,1,1,0,1,2
Marcelo-14,2014,6,Marcelo,0,DF,12-May-88,26,32,Real Madrid,Spain,1,1,1,1,0,6
Hulk-14,2014,7,Hulk,0,FW,25-Jul-86,27,35,Zenit Saint Petersburg,Russia,1,1,1,0,3,8
Paulinho-14,2014,8,Paulinho,0,MF,25-Jul-88,25,26,Tottenham,England,1,0,0,0,0,9
Fred-14,2014,9,Fred,0,FW,3-Oct-83,30,34,Fluminense,Brazil,1,0,0,0,1,4
Neymar-14,2014,10,Neymar,0,FW,5-Feb-92,22,49,Barcelona,Spain,1,0,1,0,7,10
Oscar-14,2014,11,Oscar,0,MF,9-Sep-91,22,31,Chelsea,England,1,0,1,0,3,9
Julio Cesar-14,2014,12,Julio Cesar,0,GK,3-Sep-79,34,80,Toronto,Canada,1,0,0,0,0,6
Dante-14,2014,13,Dante,0,DF,18-Oct-83,30,12,Bayern Munich,Germany,1,1,1,0,1,7
Maxwell-14,2014,14,Maxwell,0,DF,27-Aug-81,32,7,Paris Saint-Germain,France,1,1,1,0,0,9
Henrique-14,2014,15,Henrique,0,DF,14-Oct-86,27,5,Napoli,Italy,1,0,0,0,0,3
Ramires-14,2014,16,Ramires,0,MF,24-Mar-87,27,42,Chelsea,England,1,0,1,0,1,8
Luiz Gustavo-14,2014,17,Luiz Gustavo,0,MF,23-Jul-87,26,19,Wolfsburg,Germany,1,0,0,0,1,9
Hernanes-14,2014,18,Hernanes,0,MF,29-May-85,29,24,Internazionale,Italy,1,0,1,0,0,7
Willian-14,2014,19,Willian,0,MF,9-Aug-88,25,7,Chelsea,England,1,0,1,0,2,5
Bernard-14,2014,20,Bernard,0,FW,8-Sep-92,21,11,Shaktar Donetsk,Ukraine,1,1,1,0,1,6
Jo-14,2014,21,Jo,0,FW,20-Mar-87,27,17,Atlético Mineiro,Brazil,1,0,0,0,3,0
Victor-14,2014,22,Victor,0,GK,21-Jan-83,31,6,Atlético Mineiro,Brazil,1,0,0,0,0,1
Maicon-14,2014,23,Maicon,0,DF,26-Jul-81,32,73,Roma,Italy,1,0,1,0,1,6
Alisson-18,2018,1,Alisson,,GK,2-Oct-92,25,24,Roma,Italy,1,1,0,0,0,7
Cassio-18,2018,2,Cassio,,GK,6-Jun-87,30,1,Corinthians,Brazil,1,1,1,0,0,1
Ederson-18,2018,3,Ederson,,GK,17-Aug-93,24,1,Manchester City,England,1,1,1,0,0,1
