"ogc_fid","gm_","date","field_3","tm","field_5","opp","w/l","r","ra","inn","w_l","rank","gb","win","loss","save","time","d/n","attendance","streak","orig. scheduled","gm_loc"
105,"105","Saturday Jul 27","boxscore","BOS","@","BAL","W","7","3","","62-43","2","0.5","Dempster","Feldman","","3:21","N","44765","+","","BAL"
106,"106","Sunday Jul 28","boxscore","BOS","@","BAL","W","5","0","","63-43","1","up 0.5","Lester","Hammel","","2:58","D","32891","++","","BAL"
114,"114","Monday Aug 5","boxscore","BOS","@","HOU","L","0","2","","68-46","1","up 0.5","Oberholtzer","Lackey","Fields","3:11","N","24543","-","","HOU"
115,"115","Tuesday Aug 6","boxscore","BOS","@","HOU","W","15","10","","69-46","1","up 1.5","Workman","Lyles","","3:54","N","21620","+","","HOU"
7,"7","Monday Apr 8","boxscore","BOS","","BAL","W","3","1","","5-2","1","up 2.0","Buchholz","Chen","Hanrahan","2:42","D","37008","++","","BOS"
8,"8","Wednesday Apr 10","boxscore","BOS","","BAL","L","5","8","","5-3","1","up 1.0","O'Day","Hanrahan","Johnson","2:53","N","30862","-","","BOS"
9,"9","Thursday Apr 11","boxscore","BOS","","BAL","L","2","3","","5-4","1","Tied","Matusz","Mortensen","Johnson","3:15","N","27704","--","","BOS"
10,"10","Saturday Apr 13","boxscore","BOS","","TBR","W-wo","2","1","10","6-4","1","up 0.5","Tazawa","Gomes","","3:23","D","33039","+","","BOS"
11,"11","Sunday Apr 14","boxscore","BOS","","TBR","W","5","0","","7-4","1","up 1.0","Buchholz","Cobb","","2:49","D","35198","++","","BOS"
12,"12","Monday Apr 15","boxscore","BOS","","TBR","W-wo","3","2","","8-4","1","up 1.5","Bailey","Peralta","","3:03","D","37449","+++","","BOS"
16,"16","Saturday Apr 20","boxscore","BOS","","KCR","W","4","3","","12-4","1","up 2.0","Buchholz","Herrera","Bailey","2:58","D","35152","+++++++","","BOS"
17,"17","Sunday Apr 21 (1)","boxscore","BOS","","KCR","L","2","4","","12-5","1","up 1.5","Santana","Dempster","Holland","2:54","D","31483","-","","BOS"
18,"18","Sunday Apr 21 (2)","boxscore","BOS","","KCR","L","4","5","10","12-6","1","up 1.5","Herrera","Miller","Holland","3:11","N","33270","--","","BOS"
19,"19","Monday Apr 22","boxscore","BOS","","OAK","W","9","6","","13-6","1","up 2.0","Doubront","Griffin","Bailey","3:29","N","28926","+","","BOS"
20,"20","Tuesday Apr 23","boxscore","BOS","","OAK","L","0","13","7","13-7","1","up 1.0","Colon","Aceves","","2:33","N","29006","-","","BOS"
21,"21","Wednesday Apr 24","boxscore","BOS","","OAK","W","6","5","","14-7","1","up 2.0","Lester","Anderson","Bailey","3:40","D","29274","+","","BOS"
22,"22","Thursday Apr 25","boxscore","BOS","","HOU","W","7","2","","15-7","1","up 2.0","Buchholz","Humber","","2:59","N","30093","++","","BOS"
23,"23","Friday Apr 26","boxscore","BOS","","HOU","W","7","3","","16-7","1","up 2.0","Dempster","Bedard","","3:49","N","29312","+++","","BOS"
24,"24","Saturday Apr 27","boxscore","BOS","","HOU","W","8","4","","17-7","1","up 2.0","Doubront","Peacock","","3:40","N","34726","++++","","BOS"
25,"25","Sunday Apr 28","boxscore","BOS","","HOU","W","6","1","","18-7","1","up 2.5","Lackey","Norris","","2:56","D","36527","+++++","","BOS"
32,"32","Monday May 6","boxscore","BOS","","MIN","W-wo","6","5","11","21-11","1","up 2.0","Mortensen","Burton","","4:44","N","31088","+","","BOS"
33,"33","Tuesday May 7","boxscore","BOS","","MIN","L","1","6","","21-12","1","up 1.0","Diamond","Dempster","","3:01","N","30549","-","","BOS"
34,"34","Wednesday May 8","boxscore","BOS","","MIN","L","8","15","","21-13","1","Tied","Pressly","Webster","","3:42","N","29969","--","","BOS"
35,"35","Thursday May 9","boxscore","BOS","","MIN","L","3","5","","21-14","1","Tied","Correia","Lackey","Perkins","3:04","N","31571","---","","BOS"
36,"36","Friday May 10","boxscore","BOS","","TOR","W","5","0","","22-14","1","Tied","Lester","Ortiz","","2:46","N","33606","+","","BOS"
37,"37","Saturday May 11","boxscore","BOS","","TOR","L","2","3","","22-15","2","1.0","Oliver","Tazawa","Janssen","2:42","D","36543","-","","BOS"
38,"38","Sunday May 12","boxscore","BOS","","TOR","L","4","12","","22-16","3","2.0","Jenkins","Dempster","","3:13","D","35532","--","","BOS"
48,"48","Thursday May 23","boxscore","BOS","","CLE","L","3","12","","28-20","2","1.0","McAllister","Dempster","Barnes","3:34","N","35254","-","","BOS"
127,"127","Monday Aug 19","boxscore","BOS","@","SFG","W","7","0","","74-53","1","up 1.0","Lester","Lincecum","","2:59","N","41585","+","","SFG"
128,"128","Tuesday Aug 20","boxscore","BOS","@","SFG","L-wo","2","3","","74-54","1","Tied","Romo","Morales","","2:59","N","41551","-","","SFG"
129,"129","Wednesday Aug 21","boxscore","BOS","@","SFG","W","12","1","","75-54","1","up 1.0","Doubront","Zito","","2:46","D","41532","+","","SFG"
130,"130","Friday Aug 23","boxscore","BOS","@","LAD","L","0","2","","75-55","1","Tied","Nolasco","Lackey","Jansen","2:07","N","50240","-","","LAD"
131,"131","Saturday Aug 24","boxscore","BOS","@","LAD","W","4","2","","76-55","1","Tied","Lester","Ryu","Uehara","3:14","D","48165","+","","LAD"
132,"132","Sunday Aug 25","boxscore","BOS","@","LAD","W","8","1","","77-55","1","up 1.0","Peavy","Capuano","","3:00","N","44109","++","","LAD"
142,"142","Thursday Sep 5","boxscore","BOS","@","NYY","W","9","8","10","85-57","1","up 6.5","Breslow","Chamberlain","Uehara","4:32","N","40481","+++","","NYY"
143,"143","Friday Sep 6","boxscore","BOS","@","NYY","W","12","8","","86-57","1","up 7.5","Workman","Claiborne","","4:00","N","44117","++++","","NYY"
144,"144","Saturday Sep 7","boxscore","BOS","@","NYY","W","13","9","","87-57","1","up 8.5","Lackey","Huff","","3:32","D","49046","+++++","","NYY"
145,"145","Sunday Sep 8","boxscore","BOS","@","NYY","L-wo","3","4","","87-58","1","up 7.5","Rivera","Workman","","3:15","D","43078","-","","NYY"
146,"146","Tuesday Sep 10","boxscore","BOS","@","TBR","W","2","0","","88-58","1","up 8.5","Buchholz","Price","Uehara","3:09","N","18605","+","","TBR"
147,"147","Wednesday Sep 11","boxscore","BOS","@","TBR","W","7","3","10","89-58","1","up 9.5","Uehara","Peralta","","4:05","N","19215","++","","TBR"
148,"148","Thursday Sep 12","boxscore","BOS","@","TBR","L","3","4","","89-59","1","up 8.5","McGee","De La Rosa","Rodney","3:17","N","20360","-","","TBR"
158,"158","Tuesday Sep 24","boxscore","BOS","@","COL","L","3","8","","95-63","1","up 6.5","Chatwood","Lackey","","2:40","N","32315","-","","COL"
159,"159","Wednesday Sep 25","boxscore","BOS","@","COL","W","15","5","","96-63","1","up 6.5","Peavy","Chacin","","3:30","N","48775","+","","COL"
160,"160","Friday Sep 27","boxscore","BOS","@","BAL","W","12","3","","97-63","1","up 7.0","Buchholz","Feldman","","3:16","N","30774","++","","BAL"
